,Country,Capital,Population,Area [km2],Currency
0,Albania,Tirana,2854710,28748.0,Albanian lek
1,Andorra,Andorra,79034,468.0,Euro
2,Armenia,Yerevan,2790974,29743.0,Armenian dram
3,Austria,Vienna,8922082,83871.0,Euro
4,Azerbaijan,Baku,10312992,86600.0,Azerbaijani manat
5,Belarus,Minsk,9578167,207600.0,Belarusian rouble
6,Belgium,Brussels,11611419,30528.0,Euro
7,Bosnia,Sarajevo,3270943,51197.0,Bosnia and Herzegovina convertible mark
8,Bulgaria,Sofia,6885868,110879.0,Bulgarian lev
9,Croatia,Zagreb,4060135,56594.0,Euro
10,Cyprus,Nicosia,1244188,9251.0,Euro
11,Czechia,Prague,10510751,78867.0,Czech koruna
12,Denmark,Copenhagen,5854240,42933.0,Danish krone
13,Estonia,Tallinn,1328701,45228.0,Euro
14,Finland,Helsinki,5535992,338145.0,Euro
15,France,Paris,64531444,643427.0,Euro
16,Georgia,Tbilisi,3757980,69700.0,Georgian lari
17,Germany,Berlin,83408554,357022.0,Euro
18,Greece,Athens,10445365,131957.0,Euro
19,Hungary,Budapest,9709786,93028.0,Hungarian forint
20,Iceland,Reykjavik,370335,103000.0,Icelandic króna
21,Ireland,Dublin,4986526,70273.0,Euro
22,Italy,Rome,59240329,301340.0,Euro
23,Kazakhstan,Astana,19196465,2724900.0,Kazakhstani tenge
24,Latvia,Riga,1873919,64589.0,Euro
25,Liechtenstein,Vaduz,39039,160.0,Liechtenstein franc
26,Lithuania,Vilnius,2786651,65300.0,Euro
27,Luxembourg,Luxembourg,639321,2586.0,Euro
28,Malta,Valletta,526748,316.0,Euro
29,Moldova,Chisinau,3061506,33851.0,Moldovan leu
30,Monaco,Monaco,36686,2.0,Euro
31,Montenegro,Podgorica,627859,13812.0,Euro
32,Netherlands,Amsterdam,17501696,41543.0,Euro
33,North Macedonia,Skopje,2103330,25713.0,Macedonian denar
34,Norway,Oslo,5403021,323802.0,Norwegian krone
35,Poland,Warsaw,38307726,312685.0,Polish złoty
36,Portugal,Lisbon,10290103,92090.0,Euro
37,Romania,Bucharest,19328560,238391.0,Romanian leu
38,Russia,Moscow,145102755,17098242.0,Russian rouble
39,San Marino,San Marino,33745,61.0,Euro
40,Serbia,Belgrade,7296769,88361.0,Serbian dinar
41,Slovakia,Bratislava,5447622,49035.0,Euro
42,Slovenia,Ljubljana,2119410,20273.0,Euro
43,Spain,Madrid,47486935,505370.0,Euro
44,Sweden,Stockholm,10467097,450295.0,Swedish krona
45,Switzerland,Bern,8691406,41277.0,Swiss franc
46,Turkey,Ankara,84775404,783562.0,Turkish lira
47,Ukraine,Kyiv,43531422,603550.0,Ukrainian hryvnia
48,United Kingdom,London,67281039,243610.0,Sterling
49,Vatican City,Vatican City,511,0.44,Euro
